"ASIN";"SKU";"Title";"Labels";"CostPeriodStartDate";"Cost";"ShippingCostPerOrder";"ShippingProfile";"SurchargeForShippingAbroad";"Value_of_unsellable_returns";"VAT";"VAT_DE_2020";"VAT_CATEGORY";"Hide";"Marketplace"
"B07L1PZ5TW";"1039928647";"Clairol Root Touch-Up Color Blending Gel, 4 Dark Brown, 2 Count";"";"";"4";"";"";"";"";"";"";"A_GEN_STANDARD";"NO";""
"B08ZJML65Y";"";"Rit Dye RIT COLORSTAY";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B091NBCCHT";"";"Star Wars LED Night, Plug-in, Dusk to Dawn, Light-Sensing, Mandalorian, Grogu";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B091PWQ292";"";"Listerine Ultraclean Oral Care Antiseptic Mouthwash";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B091PR3PLT";"";"Colorstay Dye Fixative, 8 Fl. oz.";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B08XYD3MS5";"";"Blackstone 5249 Natural Gas Conversion Kit Propane Grill, Compatible 28"", 36"" Griddles, Tailgater, Rangetop Combo & Single Burner Rec Stove – Hose, Quick Connect Fitting";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B091SBPGLB";"";"Listerine Ready! Tabs Chewable Tablets with Clean Mint Flavor";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B00070QNC2";"";"Krups GVX Burr Grinder";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B07JVRL42Y";"";"Prep Solutions by Progressive";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B00ZMNTFL0";"";"Progressive GT-3944 Herb Ball, Stainless-Steel, 3-In.";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B08DRF7N52";"";"MSC International Joie Fresh Stretch Pod for Onions, LFGB Approved, One Size";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B07HJ1BBCG";"";"Evriholder - Juego de 2 estropajos de Cobre";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B083RYPGXH";"";"ZippyPaws Sports Ballz";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B00M0F13JA";"";"ExcelSteel Stainless Steel Wire Strainer";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B077T2ZYSG";"";"Evriholder Copper Scours 2Pk";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B086JQRSK7";"";"ZippyPaws Sports Ballz";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B07BTF7MKK";"";"Smells Begone Ambientador de baño con aceite esencial – elimina, neutraliza y purifica los olores del aire y del inodoro – Hecho con aceites esenciales 100% puros – 4 onzas";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B00K21V26S";"";"Oggi 5429.1 Ceramic Spoon Rest";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B07BT48Z2W";"";"SMELLS BEGONE Essential Oil Air Freshener Bathroom Spray - Eliminates, Neutralizes and Purifies Air & Toilet Odors - Made with 100% Pure Essential Oils - Super Concentrated - 4 Ounces";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B07QJYXC6N";"";"Craft Kitchen - Juego de cubiertos";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B08TR9M8Z2";"";"Joseph Joseph Flume - Escurridor plegable";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B08TR7WKW8";"";"Joseph Joseph Flume Folding Draining Mat";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B091C1TK44";"";"Liquid Dye, Denim Blue";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B092HX28LY";"";"Rit Liquid Fabric Dye";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B092MLVXHF";"";"RIT COLORSTAY, 8 fl oz, Dye Fixative - New";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B092PQV7CT";"";"Listerine Ultraclean Oral Care Antiseptic Mouthwash to Help Fight Bad Breath Germs";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B092QXMW2H";"";"RIT COLORSTAY, 8 fl oz, Dye Fixative - New";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B092MSRWSY";"";"RIT COLORSTAY, 8 fl oz, Dye Fixative - New";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B092VRL1SW";"";"RIT COLORSTAY, 8 fl oz, Dye Fixative - New";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B09325NJNW";"";"Rit Dye RIT COLORSTAY";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0932ZHD78";"";"Rit Dye RIT COLORSTAY, Dye Fixative";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B093CFGXZN";"";"Rit Dye RIT COLORSTAY";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B093DPBMFC";"";"Blackstone 5249 Propane to Natural Gas Conversion Kit for Grill, Compatible 28"", 36"" Griddles, Tailgater, Rangetop Combo & Single Burner Rec Stove â€“ Hose, Quick Connect Fitting";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B093D9Z1TT";"";"Rit Dye RIT COLORSTAY, 8 fl oz, Dye Fixative";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B093WQXSGM";"";"Bamboo Circular Knitting Needles 24 Inch";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B0941P1NF3";"";"myQ-G0302 myQ-GO302 Smart Garage Hub Add-On Door Sensor (Works with MYQ-G0301 Only)";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B07S312WY1";"";"Fat Daddio's PRD";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
"B094DFWZFN";"";"RIT COLORSTAY, 8 fl oz, Dye Fixative - New";"";"";"";"";"";"";"";"";"";"A_GEN_STANDARD";"YES";""
