upc,state,source_order,check_digit_valid,assigned_sku,marketplace_status,last_updated
756441909807,available,ancien 2024-10-21,true,,,
756441909814,available,ancien 2024-10-21,true,,,
756441909821,available,ancien 2024-10-21,true,,,
756441909838,available,ancien 2024-10-21,true,,,
756441909845,available,ancien 2024-10-21,true,,,
756441909852,available,ancien 2024-10-21,true,,,
756441909869,available,ancien 2024-10-21,true,,,
756441909876,available,ancien 2024-10-21,true,,,
756441909883,available,ancien 2024-10-21,true,,,
756441909890,available,ancien 2024-10-21,true,,,
756441909906,available,ancien 2024-10-21,true,,,
756441909913,available,ancien 2024-10-21,true,,,
756441909920,available,ancien 2024-10-21,true,,,
756441909937,available,ancien 2024-10-21,true,,,
756441909944,available,ancien 2024-10-21,true,,,
756441909951,available,ancien 2024-10-21,true,,,
756441909968,available,ancien 2024-10-21,true,,,
756441909975,available,ancien 2024-10-21,true,,,
756441909982,available,ancien 2024-10-21,true,,,
756441909999,available,ancien 2024-10-21,true,,,
756441910001,available,ancien 2024-10-21,true,,,
756441910018,available,ancien 2024-10-21,true,,,
756441910025,available,ancien 2024-10-21,true,,,
756441910032,available,ancien 2024-10-21,true,,,
756441910049,available,ancien 2024-10-21,true,,,
756441910056,available,ancien 2024-10-21,true,,,
756441910063,available,ancien 2024-10-21,true,,,
756441910070,available,ancien 2024-10-21,true,,,
