ordinal,sku,asin,disposition,recipe_keys,expected_total_units,current_other_slots,current_additional_after_card,approved_card_slots,hard_violation_codes,hold_reason_codes,relaxed_exceptions_applied,explicit_wrong_product_or_claim,source_row_evidence_sha256,row_evidence_sha256
56,JT-ASKD-KS8T,B0H83Z6S3Q,KEEP,PB_GRAPE,120,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,91ba6a5b14ac927ad28dfe14d33bdf84c2bc6ff34ea3e4f431b093884a5f91ff,aa67d9c63f3e345383a7e7136bd4136caeecac535c8aab650da987cc25469b59
57,JU-ASM0-KV4Z,B0H8462L4S,KEEP,PB_RASPBERRY|WHOLE_WHEAT_PB_GRAPE,24,7,6,1,,,,false,89717cecc483c84aaecde5e1024b3e30bcbfe96213bba3b693804bd51dff94b6,9dd74af94c333b3d2c1a480428ba4d17430bd5143055a0727d94153df6480df4
58,JU-ASYC-SSJD,B0H854C7SZ,KEEP,WHOLE_WHEAT_PB_STRAWBERRY|WHOLE_WHEAT_PB_GRAPE,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,b0a480cf242f917d8f60aca59280857e9552611ffa357b156fb03793ab968ce3,454eec8e7493fbd8bde8e52fd33e4c3419c92156b6f4302b09754be45cd4f108
59,JY-ASPW-LB4K,B0H84621N6,KEEP,PB_RASPBERRY|PB_APPLE_CINNAMON_PROTEIN,24,7,6,1,,,,false,f5f28cbbc97fddbcae03ffdae422b855c0e21fb1f501ab0b78e15b985d86de6b,72ba31e144222818ec60ef29e5e5f7c790e8fa4fe9cca823235ebeaea71e14c4
60,KD-AS12-8HZ3,B0H845JBM6,KEEP,PB_STRAWBERRY_PROTEIN|PB_MIXED_BERRY_MORNING_PROTEIN,24,7,6,1,,,,false,1e7ae61b08c0f25729cfb43c993c337d0667b673d71b6eead89cb0b9055de752,6374a66fdc13142b4f73a8c9585c610b9a827d742b8d049a6dae71478ce75acc
61,KN-ASYZ-ST4M,B0H83XBXHX,KEEP,PB_STRAWBERRY_PROTEIN|PB_RASPBERRY,24,7,6,1,,,,false,952e2f70cd46c95864d9c105136f3c71d3878d90d72f27d737ddd62ea48e1574,8fd577d917b3a437ef4985fcfcc787d4192f27de1b5a89752c3a65dc4bc05dfe
62,KP-ASYC-RN84,B0H83FYZR3,KEEP,PB_BLUEBERRY_PROTEIN,90,7,6,1,,,,false,0155499a4145a332369608a9d1f108214bca031df8519f6669ba10272ec5517c,2d568d25a07cea976d1ca50142026f128d056d0aab3cbff4dab0583a4d621a3b
63,LH-ASP7-KZR4,B0H82XNFRW,KEEP,WHOLE_WHEAT_PB_STRAWBERRY,90,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,ff75cfd0859e44737be0df429a6caecd26ca975ebe4eed7a0daf50eb700141fb,7243ef654a572eba0eebb6828ebf5393f6c13cbf59fe0958b792970ca218955e
64,LJ-ASYO-FWJK,B0H853SHVC,KEEP,WHOLE_WHEAT_PB_STRAWBERRY|CHOCOLATE_HAZELNUT,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,c76a5ade330b8a465cc4bf492c72caa9876f53bad5cc6c7b6932e6a030e8969c,5464165a2f02aef4da1bb73687cb763c4c0805d581f7629b4b3576ad6b98bf46
65,LK-AS7X-K43B,B0H84CGGXL,KEEP,PB_RASPBERRY|PB_STRAWBERRY,24,7,6,1,,,,false,c97270f776605e38048ac8b3191ddb09793846a49cbedbf019c8445122e72fae,75e2ad81fd3ac5afed4207e55dd47cf82ba44c3db57d1e92483ec7b93743651f
66,LP-AS9J-HSVB,B0H82B7KK1,KEEP,PB_RASPBERRY,24,7,6,1,,,,false,9bab0451db1c84118a7c764de7c204d429980b1069bcfa4b6e93126688dfec0f,fac3daa278d8b127fb7232e99617b7b5b617c8db72b6c28697f5c861a1148984
