store,sku,asin,total,cooler,landed,current_item_price,target_item_price,delta_pct,status,fulfillment,title
store1,714671746364,B0G2N4FTBB,48,M,90.90,139.54,136.35,2,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter Chocolate Hazelnut and Raspberry Spread Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,714671746371,B0G2N59L4Z,64,L,123.10,187.75,184.65,2,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter Chocolate Hazelnut and Raspberry Spread Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 16 (total 64 pieces)"
store1,714671746401,B0G2N55QDJ,48,M,90.90,139.54,136.35,2,Active,DEFAULT,"Uncrustables Peanut Butter & Honey Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,714671746418,B0G2N3VWHC,64,L,123.10,187.75,184.65,2,Active,DEFAULT,"Uncrustables Peanut Butter & Honey Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 16 (total 64 pieces)"
store1,714671746449,B0G2N4CS9Q,48,M,90.90,139.54,136.35,2,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Honey Spread and Strawberry Jam Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,714671746456,B0G2N93PZC,64,L,123.10,187.75,184.65,2,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Honey Spread and Strawberry Jam Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 16 (total 64 pieces)"
store1,714671746487,B0G2N6R6YL,48,M,90.90,139.54,136.35,2,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Honey and Raspberry Spread Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,714671746494,B0G2N4HHB9,64,L,123.10,187.75,184.65,2,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Honey and Raspberry Spread Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 16 (total 64 pieces)"
store1,714671746524,B0G2N2YZLV,48,M,90.90,139.54,136.35,2,Active,DEFAULT,"Smucker's Uncrustables Chocolate Hazelnut & Peanut Butter Strawberry Jam Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,714671746531,B0G2N77SRF,64,L,123.10,187.75,184.65,2,Active,DEFAULT,"Smucker's Uncrustables Chocolate Hazelnut & Peanut Butter Strawberry Jam Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 16 (total 64 pieces)"
