ordinal,sku,asin,status,other_slot_count,slot_indices,approved_card_slots,approved_card_exact_slot_1,additional_after_fixed_card,additional_count_4_to_6,relaxed_relevant_additional,obvious_irrelevant_additional,unknown_relevance_additional,slots_contiguous,exact_urls_unique,exact_asset_sha256_unique,known_true_visual_duplicate_count,local_binary_evidence_complete,fresh_secondary_binary_evidence_count,current_matches_sealed_after,remote_url_reachability_freshly_checked,needs_fix_reasons,unknown_reasons,listing_sha256,row_evidence_sha256
71,MP-ASZ9-TKE7,B0H837HLKC,NEEDS_FIX,5,1|2|3|4|5,1,true,4,true,3,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,8e120fe4456fb879a25113292a0b4c4aaacc9f8f4571af59bbccb4735beba796,5f85bd2ef8a29b07cbf4f0f86968cbf3971c2d65ca744b6aa81c6896f638bbf2
72,NC-ASPL-EXE8,B0H83QRV43,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,dccddd58b1f294fd9a8dc89e6892610249b2b61cfb5d334811e766a96e1dfe25,70c8436fe92e66971e383afa32012637d45a45db6663f0472d2419b19ee85576
73,NJ-ASAC-PTK2,B0H82X48CD,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,6cdc6ff511872a084d2f708b017477e9a24ff996c7e9c3281f27ace525df235f,d0a761cfb63e5afa582676e7881d767474d0ae1064c4277dfd45b12d8cc03db7
74,NM-ASEW-S2SK,B0H86TVN3C,NEEDS_FIX,5,1|2|3|4|5,1,true,4,true,3,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,57c19a138f44681937ed6394e3708542eb308c736c238a2ac31817afd6a5b65f,b1bd5c9fed55f2b46ddc032b5f007dd97b068852d15954e51efeaab1407bd29a
75,NS-ASSD-B3JJ,B0H82L945T,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,true,false,,,258c9734cc382e1cd97ac5caedc3774370fc362b5b7c6b8317f23c30f6a10f44,7af01e875293234b86323ce9a4e26f2e7fba48f443d5875be958ecbb31388490
76,NT-ASIL-V5LK,B0H84547PM,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,false,false,,,fe4542e4432331da41d67252fe7c40cc84bb1ca91f022212a415ab3afa3c08c9,00b69adf55f9d0861e21db0bd858e7f70aba8f899eab4323e6e6c6876c3b0ba3
77,NV-AS86-HD44,B0H85KQJKS,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,af0fd0ab7bf45cbc58fae001262dae57d1b7975672006dd4f6d4688cf9a4826d,210c51f2030e156181d660e5497b7b7a4a13e02747a435e4a16468d08d5f332a
78,PB-ASAF-G2T6,B0H82K7Y7S,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,137e9324ccf899de87382d9e9d02e148269e1e12ac67099ca2812f649c026dcd,cdb84740365954fd57657f1b1bb55b45690fbff0d69ec1d5a03dca52ed242897
79,PJ-ASAX-6LTG,B0H82T12L7,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,true,false,,,4764b6ff43b24158b3f069940d61585b1356ce32264a7907f583d01281608bf4,a1cd56169b4425775bb2757fa1730a1ed7edba26c978e6c1c0f9d2bbbde47656
80,PJ-ASDX-E8LW,B0H85MGP35,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,c56520bdde074e629650498efcc0669d1829b93fdead3547d8b7cf8250a8b95d,0b60acb7fdead4ff848d1f5ae931be01eb4eac5f2c771801bf9ec6c230b02aec
